Name,NameNo,Bank,OutAccountNumber,InAccountNumber,TransactionDate,TransactionTime,TransactionType,TransactionChannel,TransactionMeans,Briefs,CurrencySeparation,ForeignCurrencyTransactionAmt,AmountPaid,AmountDeposit,Balance,FinancialInstitution,ShopName
거래자명,실명번호,금융기관,출금계좌번호,입금계좌번호,거래일자,거래시각,거래종류명,거래수단명,거래채널명,적요,통화구분,외화거래금액,지급금액,입금금액,잔액,취급금융기관,취급점
홍길동,1000000000044,중소기업은행,12098765665284,12098765665263,6/24/19,19:09:45,출금,수표,창구,,KRW,0.00,210000000 ,,1000005 ,산업은행,남성점
홍님,1000000000045,중소기업은행,12098765665285,12098765665263,2/1/19,16:41:13,입금,대체,인터넷뱅킹,학원비,KRW,0.00,38000 ,0 ,2498000 ,중소기업은행,애오개
김사,1000000000046,신한은행,12098765665286,12098765665285,3/11/19,9:00:30,출금,대체,창구,이전비,KRW,0.00,600000 ,,3200999222 ,한국은행,본점
사랑길,1000000000047,KB은행,12098765665287,12098765665285,1/10/19,10:04:11,입금,대체,창구,전기세,KRW,0.00,0 ,8401110 ,28340000000 ,KB은행,여의도점
아무나,1000000000048,하나은행,12098765665288,12098765665285,1/11/19,11:04:11,입금,대체,창구,월납금,KRW,0.00,0 ,90000000 ,3100008830 ,KB은행,상계점
코아,1000000000049,하나은행,12098765665289,12098765665285,1/12/19,12:04:11,입금,대체,창구,이자,KRW,0.00,0 ,3000000 ,3820000000 ,KB은행,도곡점
장비,1000000000050,농협,12098765665290,12098765665285,1/13/19,13:04:11,입금,대체,창구,건물구입비,KRW,0.00,,5000000000 ,5300900 ,KB은행,강남점
관우,1000000000051,농협,12098765665291,12098765665285,1/14/19,14:04:11,입금,대체,창구,이사비용,KRW,0.00,,320000000 ,23452211990 ,KB은행,강남점
미꾸라지,1000000000052,농협,12098765665292,12098765665285,3/3/19,15:04:11,입금,대체,창구,내부거래,KRW,0.00,,40000000 ,5466330 ,KB은행,강남점
나래,1000000000053,농협,12098765665293,12098765665285,3/4/19,16:04:11,입금,대체,ATM,내부거래,KRW,0.00,,8000000000 ,43552350 ,KB은행,강남점
강산,1000000000054,우리은행,12098765665294,12098765665285,5/20/19,17:04:11,출금,대체,ATM,내부거래,KRW,0.00,500000000 ,,21000000000 ,씨티은행,인천
산내들,1000000000055,우리은행,12098765665295,12098765665285,5/21/19,18:04:11,출금,대체,ATM,내부거래,KRW,0.00,430000000 ,,327799990 ,씨티은행,화성
호이,1000000000056,우리은행,12098765665296,12098765665285,5/22/19,10:10:10,출금,대체,ATM,내부거래,KRW,0.00,10000000 ,,25167890 ,씨티은행,화정
외길,1000000000057,우리은행,12098765665297,12098765665285,5/23/19,8:07:06,출금,대체,인터넷뱅킹,세금정산,KRW,0.00,9000000000 ,,436755000 ,씨티은행,시청점
나림,1000000000058,우리은행,12098765665298,12098765665285,5/24/19,16:07:50,출금,대체,인터넷뱅킹,녹차구입,KRW,0.00,200000000 ,,32000 ,씨티은행,시청점
자수,1000000000059,우리은행,12098765665299,12098765665285,5/25/19,13:04:00,출금,대체,인터넷뱅킹,생활비,KRW,0.00,1000000000 ,,2177541100 ,씨티은행,시청점
현아,1000000000060,우리은행,12098765665300,12098765665285,5/26/19,11:14:12,출금,대체,인터넷뱅킹,공사비,KRW,0.00,750000000 ,,321687650 ,씨티은행,시청점
길이,1000000000061,중소기업은행,12098765665301,12098765665285,4/30/19,10:13:00,입금,수표,창구,,KRW,0.00,,1000000000000 ,100000000 ,산업은행,남성점
종이,1000000000062,하나은행,12098765665302,12098765665285,6/20/19,9:08:01,입금,수표,창구,,KRW,0.00,,300000000 ,100001 ,산업은행,남성점
개고양,1000000000063,새마을금고,12098765665303,12098765665285,6/21/19,16:09:45,입금,수표,창구,,KRW,0.00,,29102999999 ,100000002 ,산업은행,남성점
나미,1000000000064,축협,12098765665304,12098765665285,6/22/19,17:09:45,입금,수표,창구,,KRW,0.00,,32000191991 ,1000003 ,산업은행,남성점
장소,1000000000065,카카오뱅크,12098765665305,12098765665285,6/23/19,18:09:45,출금,수표,창구,,KRW,0.00,3000000000 ,,100000004 ,산업은행,남성점
가랑비,1000000000066,중소기업은행,12098765665306,12098765665305,6/24/19,19:09:45,출금,수표,창구,,KRW,0.00,210000000 ,,1000005 ,산업은행,남성점
산들,1000000000055,우리은행,12098765665307,12098765665305,5/21/19,18:04:11,출금,대체,ATM,내부거래,KRW,0.00,430000000 ,,327799990 ,씨티은행,화성
호미,1000000000056,우리은행,12098765665308,12098765665305,5/22/19,10:10:10,출금,대체,ATM,내부거래,KRW,0.00,10000000 ,,25167890 ,씨티은행,화정
가재,1000000000057,우리은행,12098765665309,12098765665305,5/23/19,8:07:06,출금,대체,인터넷뱅킹,세금정산,KRW,0.00,9000000000 ,,436755000 ,씨티은행,시청점
나랑너,1000000000058,우리은행,12098765665310,12098765665305,5/24/19,16:07:50,출금,대체,인터넷뱅킹,녹차구입,KRW,0.00,200000000 ,,32000 ,씨티은행,시청점
길치,1000000000059,우리은행,12098765665311,12098765665305,5/25/19,13:04:00,출금,대체,인터넷뱅킹,생활비,KRW,0.00,1000000000 ,,2177541100 ,씨티은행,시청점
감아,1000000000060,우리은행,12098765665312,12098765665305,5/26/19,11:14:12,출금,대체,인터넷뱅킹,공사비,KRW,0.00,750000000 ,,321687650 ,씨티은행,시청점
노령,1000000000061,중소기업은행,12098765665313,12098765665305,4/30/19,10:13:00,입금,수표,창구,,KRW,0.00,,1000000000000 ,100000000 ,산업은행,남성점
종이학,1000000000062,하나은행,12098765665314,12098765665305,6/20/19,9:08:01,입금,수표,창구,,KRW,0.00,,300000000 ,100001 ,산업은행,남성점
고양,1000000000063,새마을금고,12098765665315,12098765665305,6/21/19,16:09:45,입금,수표,창구,,KRW,0.00,,29102999999 ,100000002 ,산업은행,남성점
나미뿔,1000000000064,축협,12098765665316,12098765665305,6/22/19,17:09:45,입금,수표,창구,,KRW,0.00,,32000191991 ,1000003 ,산업은행,남성점
장소갑,1000000000065,카카오뱅크,12098765665317,12098765665305,6/23/19,18:09:45,출금,수표,창구,,KRW,0.00,3000000000 ,,100000004 ,산업은행,남성점
가랑잎,1000000000066,중소기업은행,12098765665318,12098765665305,6/24/19,19:09:45,출금,수표,창구,,KRW,0.00,210000000 ,,1000005 ,산업은행,남성점
이순신,1000000000029,농협,12098765665269,12098765665263,1/14/19,14:04:11,입금,대체,창구,이사비용,KRW,0.00,,320000000 ,23452211990 ,KB은행,강남점
권율,1000000000030,농협,12098765665270,12098765665263,3/3/19,15:04:11,입금,대체,창구,내부거래,KRW,0.00,,40000000 ,5466330 ,KB은행,강남점
물개,1000000000031,농협,12098765665271,12098765665263,3/4/19,16:04:11,입금,대체,ATM,내부거래,KRW,0.00,,8000000000 ,43552350 ,KB은행,강남점
