Name,NameNo,Bank,OutAccountNumber,InAccountNumber,TransactionDate,TransactionTime,TransactionType,TransactionChannel,TransactionMeans,Briefs,CurrencySeparation,ForeignCurrencyTransactionAmt,AmountPaid,AmountDeposit,Balance,FinancialInstitution,ShopName
거래자명,실명번호,금융기관,출금계좌번호,입금계좌번호,거래일자,거래시각,거래종류명,거래수단명,거래채널명,적요,통화구분,외화거래금액,지급금액,입금금액,잔액,취급금융기관,취급점명
홍길동,8401271111222,중소기업은행,99988877744433,23144551728222,2/1/19,16:41:13,입금,대체,인터넷뱅킹,학원비,KRW,0.00,38000 ,0 ,2498000 ,중소기업은행,애오개
김사기,1231231231100,신한은행,772001119977220,99988877744433,3/11/19,9:00:30,출금,대체,창구,이전비,KRW,0.00,600000 ,,3200999222 ,한국은행,본점
사랑니,9888327771770,KB은행,1231231100911,99988877744433,1/10/19,10:04:11,입금,대체,창구,전기세,KRW,0.00,0 ,8401110 ,28340000000 ,KB은행,여의도점
아무개,9888327771780,하나은행,33928111009991,99988877744433,1/11/19,11:04:11,입금,대체,창구,월납금,KRW,0.00,0 ,90000000 ,3100008830 ,KB은행,상계점
코니,9888327771790,하나은행,33928111009992,99988877744433,1/12/19,12:04:11,입금,대체,창구,이자,KRW,0.00,0 ,3000000 ,3820000000 ,KB은행,도곡점
소나기,1231231231110,농협,1028711286233,99988877744433,1/13/19,13:04:11,입금,대체,창구,건물구입비,KRW,0.00,,5000000000 ,5300900 ,KB은행,강남점
이순신,1231231231120,농협,1028711286234,99988877744433,1/14/19,14:04:11,입금,대체,창구,이사비용,KRW,0.00,,320000000 ,23452211990 ,KB은행,강남점
권율,1231231231130,농협,1028711286235,99988877744433,3/3/19,15:04:11,입금,대체,창구,내부거래,KRW,0.00,,40000000 ,5466330 ,KB은행,강남점
물개,1231231231140,농협,1028711286236,99988877744433,3/4/19,16:04:11,입금,대체,ATM,내부거래,KRW,0.00,,8000000000 ,43552350 ,KB은행,강남점
강감찬,8099912199111,우리은행,23144551728222,23144551728224,5/20/19,17:04:11,출금,대체,ATM,내부거래,KRW,0.00,500000000 ,,21000000000 ,씨티은행,인천
